p	 P(p)
0,000000	0,000000
0,009817	0,000000
0,019635	0,000000
0,029452	0,000000
0,039270	0,000000
0,049087	0,000000
0,060868	0,000000
0,070686	0,000000
0,080503	0,000000
0,090321	0,000000
0,100138	0,000000
0,109956	0,000000
0,119773	0,000000
0,129591	0,000000
0,139408	0,000000
0,149226	0,000000
0,159043	0,000000
0,170824	0,000000
0,180642	0,000000
0,190459	0,000000
0,200277	0,000000
0,210094	0,000000
0,219911	0,000000
0,229729	0,000000
0,239546	0,000000
0,249364	0,000000
0,259181	0,000000
0,270962	0,000000
0,280780	0,000000
0,290597	0,000000
0,300415	0,000000
0,310232	0,000000
0,320050	0,000000
0,329867	0,000000
0,339685	0,000000
0,349502	0,000000
0,359320	0,010000
0,369137	0,060000
0,380918	0,060000
0,390736	0,230000
0,400553	0,180000
0,410371	0,380000
0,420188	0,480000
0,430005	0,680000
0,439823	0,760000
0,449640	0,910000
0,459458	0,890000
0,469275	0,970000
0,479093	0,990000
0,490874	0,980000
0,500691	1,000000
0,510509	1,000000
0,520326	1,000000
0,530144	1,000000
0,539961	1,000000
0,549661	1,000000
0,556945	1,000000
0,562993	1,000000
0,564446	1,000000
0,565801	1,000000
0,563837	1,000000
0,565840	1,000000
0,564191	1,000000
0,565133	1,000000
0,565820	1,000000
0,564426	1,000000
0,564289	1,000000
0,566272	1,000000
0,565978	1,000000
0,566370	1,000000
0,565860	1,000000
0,564583	1,000000
0,563680	1,000000
0,565663	1,000000
0,564760	1,000000
0,566861	1,000000
0,568059	1,000000
0,566920	1,000000
0,565978	1,000000
0,566292	1,000000
0,566449	1,000000
0,565801	1,000000
0,566390	1,000000
0,566900	1,000000
0,567254	1,000000
0,567863	1,000000
0,566645	1,000000
0,567097	1,000000
0,565879	1,000000
0,565958	1,000000
0,568373	1,000000
0,565938	1,000000
0,566940	1,000000
0,568039	1,000000
0,566724	1,000000
0,566508	1,000000
0,567961	1,000000
0,566410	1,000000
0,566567	1,000000
0,568334	1,000000
0,569198	1,000000
