Концентрация	Вероятность
0,500482	0,000000
0,501497	0,000000
0,502100	0,000000
0,502787	0,000000
0,504103	0,000000
0,504469	0,000000
0,506022	0,000000
0,507049	0,000000
0,506288	0,000000
0,510005	0,000000
0,510224	0,000000
0,511774	0,000000
0,513055	0,000000
0,514012	0,000000
0,514017	0,000000
0,515115	0,000000
0,516006	0,000000
0,516755	0,000000
0,517968	0,000000
0,519522	0,000000
0,521269	0,000000
0,520166	0,000000
0,521741	0,000000
0,523454	0,000000
0,524107	0,000000
0,525293	0,000000
0,525951	0,000000
0,526706	0,000000
0,528082	0,010000
0,529481	0,010000
0,530039	0,000000
0,530700	0,010000
0,532095	0,000000
0,533927	0,000000
0,534176	0,000000
0,534432	0,000000
0,535854	0,000000
0,537557	0,000000
0,538326	0,010000
0,539404	0,010000
0,539439	0,000000
0,541793	0,010000
0,542657	0,010000
0,542549	0,000000
0,543109	0,010000
0,544809	0,000000
0,545671	0,010000
0,546637	0,000000
0,547998	0,020000
0,550028	0,050000
0,549400	0,020000
0,550547	0,030000
0,552434	0,010000
0,552504	0,010000
0,553892	0,010000
0,555344	0,050000
0,555515	0,020000
0,556557	0,040000
0,557501	0,030000
0,559214	0,020000
0,559484	0,030000
0,561273	0,090000
0,562165	0,090000
0,561958	0,080000
0,562990	0,050000
0,564859	0,110000
0,566208	0,110000
0,566608	0,110000
0,567801	0,090000
0,569403	0,160000
0,570429	0,190000
0,571042	0,200000
0,571943	0,190000
0,573467	0,150000
0,574547	0,200000
0,576191	0,250000
0,575879	0,360000
0,575797	0,200000
0,578700	0,320000
0,579387	0,340000
0,579566	0,420000
0,581171	0,420000
0,582297	0,460000
0,583536	0,480000
0,583824	0,400000
0,585442	0,540000
0,588121	0,610000
0,587376	0,470000
0,588448	0,490000
0,589021	0,610000
0,590926	0,650000
0,591268	0,700000
0,591756	0,650000
0,593256	0,700000
0,594396	0,720000
0,595316	0,780000
0,595657	0,710000
0,597194	0,740000
0,598409	0,750000
0,599370	0,850000
0,599819	0,820000
0,600985	0,900000
0,602109	0,860000
0,602418	0,850000
0,603676	0,870000
0,604264	0,930000
0,606569	0,910000
0,607187	0,920000
0,607375	0,930000
0,609046	0,920000
0,610233	0,980000
0,611069	0,910000
0,612692	0,990000
0,613061	0,950000
0,614106	0,940000
0,615309	0,980000
0,615862	0,980000
0,617135	1,000000
0,618150	0,990000
0,619637	0,990000
0,620752	1,000000
0,620612	1,000000
0,622260	1,000000
0,623289	1,000000
0,623670	1,000000
0,625024	1,000000
0,626146	1,000000
0,627382	1,000000
0,626878	1,000000
0,629002	1,000000
0,629599	1,000000
0,631502	1,000000
0,632378	1,000000
0,633379	1,000000
0,634408	1,000000
0,634842	1,000000
0,635950	1,000000
0,637256	1,000000
0,638290	1,000000
0,638604	1,000000
0,639124	1,000000
0,640854	1,000000
0,641170	1,000000
0,643257	1,000000
0,643477	1,000000
0,644185	1,000000
0,645871	1,000000
0,647716	1,000000
0,648384	1,000000
0,648757	1,000000
0,650599	1,000000
0,650975	1,000000
0,652898	1,000000
0,653501	1,000000
0,654919	1,000000
0,654826	1,000000
0,656178	1,000000
0,657269	1,000000
0,658274	1,000000
0,659233	1,000000
0,660193	1,000000
0,660803	1,000000
0,662628	1,000000
0,662945	1,000000
0,664142	1,000000
0,664636	1,000000
0,665453	1,000000
0,667658	1,000000
0,667811	1,000000
0,668480	1,000000
0,669707	1,000000
0,670787	1,000000
0,671764	1,000000
0,672965	1,000000
0,674689	1,000000
0,675502	1,000000
0,676122	1,000000
0,677130	1,000000
0,678068	1,000000
0,678956	1,000000
0,679635	1,000000
0,680473	1,000000
0,681716	1,000000
0,682516	1,000000
0,683862	1,000000
0,685139	1,000000
0,686333	1,000000
0,686705	1,000000
0,687815	1,000000
0,689354	1,000000
0,690083	1,000000
0,690549	1,000000
0,691423	1,000000
0,692912	1,000000
0,693660	1,000000
0,695116	1,000000
0,695615	1,000000
0,696432	1,000000
0,697546	1,000000
0,699168	1,000000
0,699622	1,000000
0,700781	1,000000
0,702478	1,000000
0,701960	1,000000
0,703760	1,000000
0,705098	1,000000
0,706225	1,000000
0,706666	1,000000
0,707727	1,000000
0,708648	1,000000
0,709554	1,000000
0,711276	1,000000
0,711925	1,000000
0,713386	1,000000
0,713897	1,000000
0,715141	1,000000
0,715708	1,000000
0,716428	1,000000
0,718091	1,000000
0,719037	1,000000
0,719952	1,000000
0,721454	1,000000
0,721571	1,000000
0,722925	1,000000
0,724757	1,000000
0,725229	1,000000
0,725058	1,000000
0,727268	1,000000
0,727195	1,000000
0,728572	1,000000
0,729620	1,000000
0,730656	1,000000
0,732356	1,000000
0,733648	1,000000
0,733849	1,000000
0,735029	1,000000
0,736338	1,000000
0,737564	1,000000
0,738432	1,000000
0,739487	1,000000
0,740174	1,000000
0,740997	1,000000
0,741794	1,000000
0,743128	1,000000
0,743576	1,000000
0,744989	1,000000
0,745548	1,000000
0,747125	1,000000
0,748258	1,000000
0,748711	1,000000
0,749925	1,000000
0,751443	1,000000
0,752059	1,000000
0,753397	1,000000
0,754124	1,000000
0,755386	1,000000
0,756701	1,000000
0,756475	1,000000
0,758290	1,000000
0,758898	1,000000
0,760665	1,000000
0,761856	1,000000
0,763039	1,000000
0,762775	1,000000
0,763883	1,000000
0,766462	1,000000
0,766488	1,000000
0,766788	1,000000
0,768168	1,000000
0,768774	1,000000
0,769638	1,000000
0,771576	1,000000
0,772162	1,000000
