p	 S	 P
0,000000	0,000000	0,000000
0,001150	0,360000	0,000000
0,001675	0,500000	0,000000
0,003025	0,720000	0,000000
0,004725	0,834000	0,000000
0,005175	0,900190	0,000000
0,006525	0,953000	0,000000
0,007175	0,961381	0,000000
0,007500	0,962000	0,000000
0,009025	0,997881	0,000000
0,009475	1,026524	0,000000
0,010625	0,999079	0,000000
0,011950	1,024064	0,000000
0,012775	1,031270	0,000000
0,014275	1,036047	0,000000
0,015950	1,048334	0,000000
0,016525	1,050598	0,000000
0,017250	1,043103	0,000000
0,018500	1,051945	0,000000
0,019325	1,092230	0,000000
0,021025	1,072590	0,000000
0,021050	1,062554	0,000000
0,022700	1,098310	0,000000
0,023775	1,092869	0,000000
0,025075	1,085390	0,000000
0,025475	1,091193	0,000000
0,025875	1,057195	0,000000
0,027150	1,114669	0,000000
0,028125	1,095676	0,000000
0,028025	1,087591	0,000000
0,028800	1,122315	0,000000
0,032325	1,120138	0,000000
0,032200	1,126465	0,000000
0,033000	1,142411	0,000000
0,034825	1,137061	0,000000
0,035875	1,148120	0,000000
0,035325	1,125786	0,000000
0,036950	1,147386	0,000000
0,038500	1,151537	0,000000
0,039650	1,141526	0,000000
0,041000	1,190045	0,000000
0,041450	1,163522	0,000000
0,040450	1,151569	0,000000
0,043500	1,159345	0,000000
0,044950	1,217843	0,000000
0,046450	1,214472	0,000000
0,046200	1,155233	0,000000
0,047275	1,194130	0,000000
0,047300	1,190208	0,000000
0,050300	1,201025	0,000000
0,047975	1,186124	0,000000
0,051700	1,224799	0,000000
0,050575	1,240028	0,000000
0,052425	1,212978	0,000000
0,054250	1,236883	0,000000
0,056750	1,233210	0,000000
0,057350	1,266144	0,000000
0,057775	1,232541	0,000000
0,058125	1,271463	0,000000
0,060400	1,253977	0,000000
0,059700	1,261492	0,000000
0,060875	1,260396	0,000000
0,060950	1,291906	0,000000
0,065725	1,297422	0,000000
0,065225	1,281457	0,000000
0,065425	1,306580	0,000000
0,067100	1,319861	0,000000
0,066450	1,290745	0,000000
0,068075	1,289394	0,000000
0,071100	1,297924	0,000000
0,069875	1,289943	0,000000
0,070875	1,313089	0,000000
0,071000	1,300622	0,000000
0,075700	1,353140	0,000000
0,073100	1,312107	0,000000
0,076725	1,334184	0,000000
0,072150	1,321387	0,000000
0,077250	1,350852	0,000000
0,075900	1,377595	0,000000
0,078400	1,365405	0,000000
0,080450	1,349162	0,000000
0,080000	1,410413	0,000000
0,083875	1,383492	0,000000
0,086600	1,399497	0,000000
0,084625	1,433761	0,000000
0,083825	1,340169	0,000000
0,086550	1,413946	0,000000
0,084800	1,374267	0,000000
0,087950	1,442636	0,000000
0,087650	1,421959	0,000000
0,088675	1,408852	0,000000
0,090550	1,421383	0,000000
0,091600	1,435699	0,000000
0,094900	1,502323	0,000000
0,095775	1,453290	0,000000
0,092375	1,428940	0,000000
0,093775	1,432500	0,000000
0,097575	1,505825	0,000000
0,097850	1,457888	0,000000
0,098275	1,478247	0,000000
0,100675	1,484058	0,000000
0,100175	1,549877	0,000000
0,101575	1,478824	0,000000
0,102275	1,515376	0,000000
0,100650	1,501391	0,000000
0,105450	1,546199	0,000000
0,107325	1,550201	0,000000
0,105500	1,500948	0,000000
0,107275	1,578533	0,000000
0,111475	1,599412	0,000000
0,110400	1,574219	0,000000
0,110075	1,572494	0,000000
0,113475	1,662369	0,000000
0,112800	1,588188	0,000000
0,111900	1,585176	0,000000
0,115850	1,625188	0,000000
0,115775	1,582561	0,000000
0,116825	1,600210	0,000000
0,116325	1,597730	0,000000
0,120050	1,707077	0,000000
0,120475	1,664566	0,000000
0,123200	1,663033	0,000000
0,121600	1,669636	0,000000
0,121200	1,613817	0,000000
0,124100	1,633186	0,000000
0,125575	1,669337	0,000000
0,126450	1,693443	0,000000
0,127900	1,715635	0,000000
0,128475	1,717963	0,000000
0,127975	1,705512	0,000000
0,130900	1,699960	0,000000
0,131825	1,732143	0,000000
0,131250	1,719430	0,000000
0,137275	1,760413	0,000000
0,132625	1,711546	0,000000
0,134275	1,732974	0,000000
0,136250	1,781719	0,000000
0,139925	1,816494	0,000000
0,140350	1,860106	0,000000
0,137525	1,779652	0,000000
0,138750	1,757353	0,000000
0,143175	1,858098	0,000000
0,143625	1,840562	0,000000
0,144125	1,877405	0,000000
0,143175	1,829331	0,000000
0,144025	1,825203	0,000000
0,146350	1,813889	0,000000
0,146450	1,920626	0,000000
0,145550	1,817391	0,000000
0,151900	1,932458	0,000000
0,148575	1,849569	0,000000
0,151675	1,880335	0,000000
0,151175	1,814681	0,000000
0,150150	1,871525	0,000000
0,153175	1,863850	0,000000
0,156075	1,939050	0,000000
0,157575	1,944054	0,000000
0,159050	1,958446	0,000000
0,155175	1,969060	0,000000
0,160750	1,979930	0,000000
0,160650	1,959072	0,000000
