p	 P(p)
0,000000	0,000000
0,010053	0,000000
0,020106	0,000000
0,029845	0,000000
0,039898	0,000000
0,049951	0,000000
0,060004	0,000000
0,070058	0,000000
0,080111	0,000000
0,089850	0,000000
0,099903	0,000000
0,109956	0,000000
0,120009	0,000000
0,130062	0,000000
0,140115	0,000000
0,149854	0,000000
0,159907	0,000000
0,169960	0,000000
0,180013	0,000000
0,190066	0,000000
0,200119	0,000000
0,209858	0,000000
0,219911	0,000000
0,229965	0,000000
0,240018	0,000000
0,250071	0,000000
0,260124	0,000000
0,269863	0,000000
0,279916	0,000000
0,289969	0,000000
0,300022	0,000000
0,310075	0,000000
0,320128	0,000000
0,329867	0,000000
0,339920	0,000000
0,349973	0,000000
0,360027	0,000000
0,370080	0,000000
0,380133	0,000000
0,389872	0,100000
0,399925	0,300000
0,409978	0,600000
0,420031	0,800000
0,430084	1,000000
0,440137	1,000000
0,449876	1,000000
0,459929	1,000000
0,469982	1,000000
0,480035	1,000000
0,490088	1,000000
0,500142	1,000000
0,509880	1,000000
0,519934	1,000000
0,529987	1,000000
0,540040	1,000000
0,547894	1,000000
0,548993	1,000000
0,550721	1,000000
0,549182	1,000000
0,548993	1,000000
0,550407	1,000000
0,549779	1,000000
0,550030	1,000000
0,549873	1,000000
0,551192	1,000000
0,551789	1,000000
0,550501	1,000000
0,552009	1,000000
0,550564	1,000000
0,548711	1,000000
0,550627	1,000000
0,551444	1,000000
0,550564	1,000000
0,550784	1,000000
0,548396	1,000000
0,550250	1,000000
0,550344	1,000000
0,552323	1,000000
0,550219	1,000000
0,550470	1,000000
0,549496	1,000000
0,549936	1,000000
0,549842	1,000000
0,549842	1,000000
0,553109	1,000000
0,550438	1,000000
0,551538	1,000000
0,551632	1,000000
0,552198	1,000000
0,552386	1,000000
0,552543	1,000000
0,549150	1,000000
0,551915	1,000000
0,549873	1,000000
0,550376	1,000000
0,549967	1,000000
0,551475	1,000000
0,553172	1,000000
0,550627	1,000000
0,552512	1,000000
0,552480	1,000000
